etID  | Input | Unknown-Stage {GOLD} | Output {GOLD}
0      | #bajt̪um# | #bajθa# {GOLD: Lexicon@6fadae5d} | #bɛha# {GOLD: #bɛha#}
1      | #d͡zajt̪um# | #zajθa# {GOLD: Lexicon@6fadae5d} | #zɛha# {GOLD: #zɛha#}
2      | #maːt̪um# | #maːθa# {GOLD: Lexicon@6fadae5d} | #maha# {GOLD: #maha#}
3      | #mawt̪um# | #mawθa# {GOLD: Lexicon@6fadae5d} | #mawha# {GOLD: #mawha#}
4      | #jθaw# | #ʔiθwa# {GOLD: Lexicon@6fadae5d} | #ʔihwa# {GOLD: #ʔihwa#}
5      | #kit̪aːbum# | #kθaːβa# {GOLD: Lexicon@6fadae5d} | #ksawa# {GOLD: #ksawa#}
6      | #kaːt̪ibum# | #kaːθəβ# {GOLD: Lexicon@6fadae5d} | #kahəw# {GOLD: #kasəw#}
7      | #kit̪ajt̪aʔ# | #kθajθa# {GOLD: Lexicon@6fadae5d} | #ksɛha# {GOLD: #ksɛha#}
